topic,positive_evidence,negative_evidence_1,negative_evidence_2,negative_evidence_3,negative_evidence_4,negative_evidence_5
We should further exploit solar energy,"David Faiman has proposed that ""giant"" solar plants in the Negev could supply all of Israel's electricity.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding."
We should further exploit wind power,"Nearly nine in ten Mainers agree that ""wind power can improve energy security and reduce Maine's dependence on fossil fuels, and eight in ten agree that wind power will produce jobs and other forms of economic benefits"".","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses."
We should adopt socialism,"Knudsen, inspired by German theories, argued that ""socialism [is] the only means"" to ""help the working estate"".","As an economist, Williams is a proponent of free market economics and opposes socialist systems of government intervention.","Hayek further argued that central economic planning - a mainstay of socialism - would lead to a ""total"" state with dangerous power.","Gladden did not support socialism or laissez faire economics, advocating instead the application of ""Christian law"" to issues.","Gladden did not support socialism or laissez faire economics, advocating instead the application of ""Christian law"" to issues.","Gladden did not support socialism or laissez faire economics, advocating instead the application of ""Christian law"" to issues."
We should further exploit wind power,"The report highlights wind power's potential in 2020 as three times greater than Europe's expected electricity demand, rising to a factor of seven by 2030.",The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" ."
We should introduce universal health care,"Over the course of his Senate career and continuing into the Obama administration, Kennedy continued his efforts to enact universal health care, which he called the ""cause of my life."" .","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism.","A 1960s record distributed by the American Medical Association, narrated by Ronald Reagan, warns that universal health care could lead to lost freedoms and socialism."
Holocaust denial should be a criminal offence,"Besides Austria, eleven other countries[REF]-including Belgium, France, Germany, Lithuania, Poland, and Switzerland-have criminalised Holocaust denial as punishable with imprisonment.","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech.","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech.","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech.","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech.","János Kis[REF] and TASZ,[REF] in particular András Schiffer[REF] feel the work of Holocaust deniers should be protected by a universal right to free speech."
We should further exploit hydroelectric dams,"At its point of origin, Uganda has built three hydroelectric dams which provide electricity to many citizens in Uganda and neighboring countries.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams."
We should further exploit hydroelectric dams,"In 2008, The Economist stated that ""nuclear reactors are the one proven way to make carbon-dioxide-free electricity in large and reliable quantities that does not depend (as hydroelectric and geothermal energy do) on the luck of the geographical draw.""[REF]","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing.","A study for the National Institute for Research in the Amazon found that Hydroelectric reservoirs release a large pulse of carbon dioxide from above-water decay of trees left standing in the reservoirs, especially during the first decade after closing."
We should adopt open source software,"Many open-source advocates argue that open-source software is inherently safer because any person can view, edit, and change code.","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer""."
We should further exploit wind turbines,"WindShare and its parent, the Toronto Renewable Energy Cooperative (TREC), have plans for more wind turbines.",The Waubra Foundation promotes the view that wind turbines cause ill health.,The Waubra Foundation promotes the view that wind turbines cause ill health.,The Waubra Foundation promotes the view that wind turbines cause ill health.,The Waubra Foundation promotes the view that wind turbines cause ill health.,The Waubra Foundation promotes the view that wind turbines cause ill health.
Bullfighting should be banned,"According to a poll conducted by the Sports Marketing Group in Atlanta in 2003, 46.2% of Americans polled hated or strongly disliked bull fighting.","The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU"".","The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU"".","The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU"".","The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU"".","The King has allegedly stated, that ""the day the EU bans bullfighting is the day Spain leaves the EU""."
We should adopt vegetarianism,"Cowherd's emphasized that vegetarianism was good for health, whilst eating meat was unnatural and likely to cause aggression.",Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.,Bill Mollison has inconsistently argued in his Permaculture Design Course that vegetarianism exacerbates soil erosion.
We should further exploit wind power,"A November 2006 analysis found that ""wind power may be able to cover more than 50% of the Danish electricity consumption in 2025"" under conditions of high oil prices and higher costs for CO2 allowances.","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" ."
We should fight illegal immigration,"Jenkins has denounced ""unchecked illegal immigration"" that ""is wreaking havoc on our economic, legal, and national security interests.""[REF]",JCUA supports legislation that would provide illegal immigrants with an avenue to achieve citizenship and advocates a ban on deportations.,"National Public Radio (NPR) reported in March 2006 that: ""..overall, illegal immigrants don't have a big impact on U.S. wage rates.","In a late 1980s study, economists overwhelmingly viewed immigration, including illegal immigration, as a positive for the economy.","In a late 1980s study, economists overwhelmingly viewed immigration, including illegal immigration, as a positive for the economy.","In a late 1980s study, economists overwhelmingly viewed immigration, including illegal immigration, as a positive for the economy."
We should further exploit wind power,"Opinion polls show that this direct involvement has helped the popularity of wind turbines, with some 86% of Danes supporting wind energy when compared with existing fuel sources.",The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,"According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" .","According to the article, on December 10, 2010, MSNBC reported that ""Pickens said low natural gas prices have made utility companies view wind power as too expensive."" ."
We should further exploit wind power,"In 2009, GE's renewable energy initiatives, which include solar power, wind power and GE Jenbacher gas engines using renewable and non-renewable methane-based gases,[REF] employ more than 4,900 people globally and have created more than 10,000 supporting jobs.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses.","A 2009 study on wind power in Spain by Gabriel Calzada Alvarez Universidad Rey Juan Carlos concluded that each installed MW of wind power led to the loss of 4.27 jobs, by raising energy costs and driving away electricity-intensive businesses."
We should ban breast implants,"The Institute of Medicine has reported that breast surgery, including breast implants or breast reduction surgery, reduces the chances that a woman will have sufficient milk to breast feed.","Since the 1990s, independent, comprehensive reviews of the studies seeking causal links between silicone-gel breast implants and systemic disease reported no causal link between the implants and subsequent systemic and autoimmune diseases.","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF].","After investigating, the U.S. FDA has concluded ""the weight of the epidemiological evidence published in the literature does not support an association between fibromyalgia and breast implants.""[REF][REF]."
We should subsidize biofuels,The group says that biofuels will become a leading alternative fuel for the company.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.,The World Bank lists the effect of biofuels as an important contributor to higher food prices.
We should prohibit corporal punishment,"Two states, New Jersey and Iowa, additionally ban the use of corporal punishment in private schools.","The UK Government responded that ""the use of physical punishment is a matter for individual parents to decide"".","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights.""","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights.""","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights.""","The petitioner argued that since corporal punishment was legal that any restrictions on that punishment infringes upon ""parental rights."""
We should introduce a flat tax,"In 2005 Senator Sam Brownback, a Republican from Kansas, stated he had a plan to implement a flat tax in Washington, D.C..","Scorsone supported abortion rights, called a flat tax ""too regressive"", and favored national educational testing and standards.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax.","Concerning tax policy, the NFU is in favor of a more progressive tax structure and are opposed to a flat tax."
We should further exploit solar energy,"By using solar energy as a power source, Lindsey hopes to encourage the use of environment-friendly energy sources as the issue of global warming becomes more urgent.""","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding."
We should increase gun control,Sestak supports gun control and has a 100% rating from the Brady Campaign to Prevent Gun Violence[REF] and an F rating from the National Rifle Association.,"Regarding the Second Amendment, Coburn believes that it ""recognizes the right of individual, law-abiding citizens to own and use firearms,"" and he opposes ""any and all efforts to mandate gun control on law-abiding citizens.""[REF]","Specter strongly opposes most gun control, voting against the Brady Bill, background checks at gun shows, the ban on assault weapons, and trigger locks for handguns.",Zinga opposes gun control and strongly supports the American effort in Iraq in the context of the larger war on terrorism.,"On June 26, 2008, the Supreme Court of the United States held in District of Columbia v. Heller that the city's 1976 handgun ban violated the Second Amendment right to gun ownership.","On June 26, 2008, the Supreme Court of the United States held in District of Columbia v. Heller that the city's 1976 handgun ban violated the Second Amendment right to gun ownership."
We should ban fishing,In 2003 the European Commission provided emergency protection and banned damaging fishing activity in the locality.,"Being near the sea, it is only expected that fishing plays a very important part of the Batangan Economy.","Being near the sea, it is only expected that fishing plays a very important part of the Batangan Economy.","Being near the sea, it is only expected that fishing plays a very important part of the Batangan Economy.","Being near the sea, it is only expected that fishing plays a very important part of the Batangan Economy.","Being near the sea, it is only expected that fishing plays a very important part of the Batangan Economy."
We should further exploit hydroelectric dams,The Chixoy Hydroelectric Dam is the largest of the hydroelectric reservoirs with an effective capacity of 275 MW which supplies 15% of the countries electricity demand.,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream."
We should further exploit hydroelectric dams,"The United States' hydroelectric plants make the largest contribution to the country's renewable energy, producing 248,100MW of the 371,700MW (67%) generated through all renewable energy.","Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams."
We should ban trans fats usage in food,"Because of these facts and concerns, the NAS has concluded there is no safe level of trans fat consumption.",Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.,Cancer: There is no scientific consensus that consumption of trans fats significantly increases cancer risks across the board.
We should adopt open source software,"As Lamb & Groom (2011) write in Educause: ""the jaw-dropping CUNY Academic Commons .. seamlessly integrates the open-source .. platforms into an appealing and highly sustainable environment."" .","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights."""
We should further exploit wind turbines,"In 2010, there were plans for GE to develop five wind turbines to generate 20 megawatts of power by 2012 with plans to generate 1,000 megawatts by 2020; one proposal called for ""gearless turbines"" with 176-long blades helped along with magnets.","In the United States, an unofficial non-peer-reviewed estimate by a U.S. Fish & Wildlife Service (USFWS) scientist in 2009 claimed that wind turbines kill 440,000 birds per year, with future mortality expected to increase significantly as wind power generation expands by 2030 to levels about 12 times higher than 2009 levels.","Another study published in Atmospheric Chemistry and Physics suggested that using wind turbines to meet 10 percent of global energy demand in 2100 could actually have a warming effect, causing temperatures to rise by in the regions on land where the wind farms are installed, including a smaller increase in areas beyond those regions.","In 2006, Romney opposed the Cape Wind offshore Cape Cod wind farm proposal[REF] because of its visual detriment to Nantucket, saying that Nantucket ""is a critical location for the state, and placing wind turbines there would be detrimental.""","In 2006, Romney opposed the Cape Wind offshore Cape Cod wind farm proposal[REF] because of its visual detriment to Nantucket, saying that Nantucket ""is a critical location for the state, and placing wind turbines there would be detrimental.""","In 2006, Romney opposed the Cape Wind offshore Cape Cod wind farm proposal[REF] because of its visual detriment to Nantucket, saying that Nantucket ""is a critical location for the state, and placing wind turbines there would be detrimental."""
We should further exploit wind power,"German engineering company Siemens announced in July 2010, following a visit to Russia by Chancellor Angela Merkel, that it would build wind power plants in Russia.",The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.,The IER claims that Pickens' plan relies on government subsidies and that producing large amounts of wind power is not a viable option.
We should ban corporal punishment in the home,"Currently, 29 countries have introduced a comprehensive legal ban prohibiting violence in all settings, including corporal punishment in the home.","In the United States, corporal punishment of children by their parents remains lawful in all 50 states.","In the United States, corporal punishment of children by their parents remains lawful in all 50 states.","In the United States, corporal punishment of children by their parents remains lawful in all 50 states.","In the United States, corporal punishment of children by their parents remains lawful in all 50 states.","In the United States, corporal punishment of children by their parents remains lawful in all 50 states."
We should further exploit hydroelectric dams,"According to that study, hydroelectricity produces the least amount of greenhouse gases and externality of any energy source.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams.","In 1984, together with his colleague Nicholas Hildyard, Goldsmith authored a multi-volume report on the destructive effects of large-scale, hydroelectric dams."
We should adopt a zero tolerance policy in schools,"In December 2009 Izunwa urged Rivers State Police Commissioner, Mr Suleman Abba, to initiate a zero tolerance policy for violence against women and to stop the practice of granting bail to rape suspects.","A particularly dismaying hypothesis about zero tolerance policies is that they may actually discourage some people from reporting criminal and illegal behavior, for fear of losing relationships, and for many other reasons.","A study by the National Education Policy Center found that zero-tolerance policies across the nation were increasing suspension rates, particularly for black students accused of non-violent offenses such as dress code violations, cell-phone use, and insubordination.","A study by the National Education Policy Center found that zero-tolerance policies across the nation were increasing suspension rates, particularly for black students accused of non-violent offenses such as dress code violations, cell-phone use, and insubordination.","A study by the National Education Policy Center found that zero-tolerance policies across the nation were increasing suspension rates, particularly for black students accused of non-violent offenses such as dress code violations, cell-phone use, and insubordination.","A study by the National Education Policy Center found that zero-tolerance policies across the nation were increasing suspension rates, particularly for black students accused of non-violent offenses such as dress code violations, cell-phone use, and insubordination."
We should ban partial birth abortions,"Kennedy wrote the majority opinion in 2007's Gonzales v. Carhart, which held that a federal law criminalizing partial-birth abortion did not violate Casey because it did not impose an ""undue burden.""","The DLC opposed the partial birth abortion ban, the expiration of the 1994 assault weapon ban, the Clear Skies Initiative, and what they perceived as a lack of funding of the Community Oriented Policing Services (COPS) program.","In the Senate, Kerry has consistently voted against bans on abortions conducted on military bases and military installations overseas, as well as against the ban on partial-birth abortion.","In the Senate, Kerry has consistently voted against bans on abortions conducted on military bases and military installations overseas, as well as against the ban on partial-birth abortion.","In the Senate, Kerry has consistently voted against bans on abortions conducted on military bases and military installations overseas, as well as against the ban on partial-birth abortion.","In the Senate, Kerry has consistently voted against bans on abortions conducted on military bases and military installations overseas, as well as against the ban on partial-birth abortion."
We should further exploit solar energy,"Jacobson has studied how wind, water and solar technologies can provide 100 per cent of the world's energy, eliminating all fossil fuels.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding.","The French government assessed in a report that solar energy was uneconomical, deeming Mouchot's research no longer important and ending his funding."
We should adopt open source software,"Microsoft backs an open-source effort to support OpenDocument in Office 2007, as well as earlier versions (up to Office 2000), through a converter add-in for Word, Excel and PowerPoint, and also a command-line utility.","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights.""","The Washington Post reported in 2003 that Lois Boland (USPTO Director of International Relations) said ""that open-source software runs counter to the mission of WIPO, which is to promote intellectual-property rights."""
We should adopt open source software,Research indicates that the open-source software - Linux - has a lower percentage of bugs than some commercial software.,"The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer"".","The company's anti-open source sentiment was enforced by former CEO Steve Ballmer, who referred to Linux, a widely used open source software, as a ""malignant cancer""."
We should abolish zoos,"IDA believes that zoos lead to the premature deaths of elephants and that ""urban zoos simply don't have enough space for these magnificent, intelligent animals"".","Already in his mid-fifties, Col. Sawer was an advocate for the newish notion that zoological parks were fundamentally about education, science and conservation.","Active as a field biologist in Patagonia, Conway promoted a new vision of zoos as conservation organizations, which cooperated in breeding endangered species.","Active as a field biologist in Patagonia, Conway promoted a new vision of zoos as conservation organizations, which cooperated in breeding endangered species.","Active as a field biologist in Patagonia, Conway promoted a new vision of zoos as conservation organizations, which cooperated in breeding endangered species.","Active as a field biologist in Patagonia, Conway promoted a new vision of zoos as conservation organizations, which cooperated in breeding endangered species."
We should end affirmative action,"An outspoken conservative, Fordice advocated tax cuts, the abolishment of affirmative action, reductions in the welfare system, expanded capital punishment, tougher prison conditions and the building of more prisons.","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] .","In the 2000 campaign, Lieberman assured the black voters, ""I have supported affirmative action, I do support affirmative action, and I will support affirmative action because history and current reality make it necessary.""[REF] ."
Abstinence-only sex education should be mandatory,Romney has declared his support for abstinence-only sex education in public schools.,Evidence has not supported the effective use of abstinence-only sex education.,Parra is pro-choice and supports comprehensive sex education programs over abstinence only programs.,Parra is pro-choice and supports comprehensive sex education programs over abstinence only programs.,Parra is pro-choice and supports comprehensive sex education programs over abstinence only programs.,Parra is pro-choice and supports comprehensive sex education programs over abstinence only programs.
Abstinence-only sex education should be mandatory,"Siyafundisa (""Teaching Our Children""), a five-year project to reduce HIV/AIDS incidence in South Africa, Mozambique, and Namibia by promoting abstinence until marriage, being faithful, and avoidance of unhealthy behaviors affecting youth.","In 2007, a study ordered by Congress found that middle school students who took part in abstinence-only sex education programs were just as likely to have sex in their teenage years as those who did not.","In 2007, a study ordered by Congress found that middle school students who took part in abstinence-only sex education programs were just as likely to have sex in their teenage years as those who did not.","In 2007, a study ordered by Congress found that middle school students who took part in abstinence-only sex education programs were just as likely to have sex in their teenage years as those who did not.","In 2007, a study ordered by Congress found that middle school students who took part in abstinence-only sex education programs were just as likely to have sex in their teenage years as those who did not.","In 2007, a study ordered by Congress found that middle school students who took part in abstinence-only sex education programs were just as likely to have sex in their teenage years as those who did not."
